Date,Contract
2020-01-02 09:00:00,GCG0 Comdty
2020-01-27 21:00:00,GCJ0 Comdty
2020-03-25 21:00:00,GCM0 Comdty
2020-05-26 21:00:00,GCQ0 Comdty
2020-07-28 21:00:00,GCZ0 Comdty
2020-11-24 21:00:00,GCG1 Comdty
2021-01-26 21:00:00,GCJ1 Comdty
2021-03-24 21:00:00,GCM1 Comdty
2021-05-25 09:00:00,GCQ1 Comdty
2021-07-27 09:00:00,GCZ1 Comdty
